Chromosome	GenBank	RefSeq	Size	GC	Unlocalized
1	CM009238.2	NC_036879.1	224244399	41.5	0	
2A	CM009239.2	NC_036880.1	108022953	40.5	0	
2B	CM009240.2	NC_036881.1	128755405	39.5	0	
3	CM009241.2	NC_036882.1	196562556	39.5	0	
4	CM009242.2	NC_036883.1	189151597	38	0	
5	CM009243.2	NC_036884.1	159319378	39.5	3	
6	CM009244.2	NC_036885.1	168369391	39.5	0	
7	CM009245.2	NC_036886.1	156046543	40.5	0	
8	CM009246.2	NC_036887.1	143338810	40	0	
9	CM009247.2	NC_036888.1	110513671	41	0	
10	CM009248.2	NC_036889.1	129809613	41.5	0	
11	CM009249.2	NC_036890.1	130782606	41.5	0	
12	CM009250.2	NC_036891.1	130995916	40.5	0	
13	CM009251.2	NC_036892.1	95599650	38.5	0	
14	CM009252.2	NC_036893.1	87716528	40.5	0	
15	CM009253.2	NC_036894.1	80519282	42	0	
16	CM009254.2	NC_036895.1	75912362	44.5	1	
17	CM009255.2	NC_036896.1	76554115	45.5	0	
18	CM009256.2	NC_036897.1	74774469	39.5	0	
19	CM009257.2	NC_036898.1	56733099	48	0	
20	CM009258.2	NC_036899.1	64035432	44	0	
21	CM009259.2	NC_036900.1	33232379	41	0	
22	CM009260.2	NC_036901.1	33698415	48	0	
X	CM009261.2	NC_036902.1	151576176	39	0	
Y	DP000054.3	NC_006492.4	26350515	40	0	
MT	D38113.1	NC_001643.1	16554	43.5	0	
Note:  This genome assembly includes 4316 unplaced scaffolds
